Pattern,Notes,pitch_score,velocity_score,rhythm_score,timing_score,human_score_10
1.mid,13,100,85.5,95.1,72.9,7
2.mid,13,100,100,100,68.1,9
3.mid,13,100,85.5,95.1,72.9,6
4.mid,6,86.9,83.2,81.2,72.1,3
5.mid,14,55.8,82.1,99.9,64.1,8
6.mid,13,100,89.1,100,62.8,8
7.mid,4,84.7,78.3,88,60.8,2
8.mid,10,56.7,90,85.6,71.7,4
9.mid,5,86.4,75.3,90.8,65.9,3
10.mid,14,84.3,86.9,96.1,60.9,9
11.mid,7,89.8,76.1,93.4,65.8,4
12.mid,6,87.5,77.9,94.1,61.2,4
13.mid,8,85,87.5,81.4,67.7,2
15.mid,6,84,84.1,94.1,65,2
16.mid,6,84,84.1,94.1,65,3
17.mid,13,100,84.9,95.1,68,9
18.mid,13,100,83.6,95.1,59.9,9
19.mid,13,100,86.1,95.1,73.3,8
20.mid,13,100,83.8,100,70.4,10
