Label,Pitch,Note_Name,Start_s,Start_beat,Duration_s,Duration_beat,Velocity
surya_5,64,E4,1.6172,2.1562,0.5547,0.7396,116
surya_5,64,E4,1.8594,2.4792,0.3125,0.4167,110
surya_5,71,B4,2.3828,3.1771,0.2969,0.3958,86
surya_5,69,A4,2.625,3.5,0.4531,0.6042,107
surya_5,71,B4,3.0703,4.0938,0.3516,0.4688,86
surya_5,67,G4,3.3516,4.4688,0.5391,0.7188,111
surya_5,69,A4,3.8594,5.1458,0.3594,0.4792,109
surya_5,66,F#4,4.1641,5.5521,0.5234,0.6979,101
surya_5,66,F#4,4.9062,6.5417,0.5781,0.7708,121
surya_5,67,G4,5.3984,7.1979,0.2656,0.3542,99
surya_5,64,E4,5.6562,7.5417,0.8047,1.0729,113
surya_5,64,E4,6.8438,9.125,0.2578,0.3438,107
surya_5,59,B3,7.0547,9.4062,0.2031,0.2708,98
surya_5,64,E4,7.2656,9.6875,0.6875,0.9167,113
